Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Percent_Bleaching,ClimSST,Temperature_Mean,Windspeed,SSTA,SSTA_Maximum,SSTA_Frequency,SSTA_DHW,TSA,TSA_Mean,TSA_Frequency,TSA_DHW,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments
441,-20.0801,148.2979,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Thomas Island,nd,53.3,Sheltered,0.1354,36.16,15,3,2002,nd,75,299.72,298.59,5,0.03,2.86,9,2.05,-0.8,-3.25,1,1.01,0.68,15-03-2002,low cover,low cover,Bleaching percent averaged from code: Severe (>50% Bleached)
442,-20.0769,148.4869,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Hideaway Bay,nd,380.85,Sheltered,0.0641,36.16,15,3,2002,nd,75,299.94,298.64,5,0.34,3.46,14,8.44,-0.34,-3.17,6,7.84,0.61,15-03-2002,patch reef off Champaigne Bay with high cover,patch reef off Champaigne Bay with high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
443,-20.0667,148.5371,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Saddleback Island,nd,57.6,Sheltered,0.0836,47.02,15,3,2002,nd,75,299.92,298.63,6,0.7,3.45,13,14.14,0.01,-3.17,7,12.28,0.54,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
444,-20.0643,148.266,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Bowen,nd,515.26,Sheltered,0.1229,36.16,15,3,2002,nd,75,299.73,298.54,5,0.51,4.2,11,2.2,-0.24,-3.14,2,2.01,0.52,15-03-2002,low cover,low cover,Bleaching percent averaged from code: Severe (>50% Bleached)
445,-20.064,148.8912,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Hayman Island,nd,283.37,Sheltered,0.0557,47.44,15,3,2002,nd,75,298.71,298.69,6,1.65,5.74,22,47.17,1.28,-0.21,20,43.29,10.66,15-03-2002,ie Blue Pearl Bay,ie Blue Pearl Bay,Bleaching percent averaged from code: Severe (>50% Bleached)
446,-20.0529,148.466,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Gloucester Island,nd,91.96,Sheltered,0.0641,36.16,15,3,2002,nd,75,299.96,298.68,5,0.25,3.39,11,1.47,-0.45,-3.18,1,1.48,0.6,15-03-2002,low cover,low cover,Bleaching percent averaged from code: Severe (>50% Bleached)
449,-20.0188,148.6241,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Eshelby Island,nd,176.39,Sheltered,0.076,47.02,15,3,2002,nd,75,299.9,298.63,6,0.25,4.54,12,10.72,-0.42,-3.09,6,8.77,0.49,15-03-2002,high cover; incl plates,high cover; incl plates,Bleaching percent averaged from code: Severe (>50% Bleached)
507,-24.8362,152.4829,Pacific,Moreton Bay eastern Australia,Australia,Queensland,Bargara,nd,612.7,Exposed,0.095,41.58,15,3,1998,nd,75,298.52,296.53,5,0.81,2.95,9,13.38,0.1,-3.88,5,11.24,0.64,15-03-1998,severe bleaching,severe bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
541,-20.8572,150.3798,Pacific,Pompey and Swain Reefs south-east Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,33622.87,Sheltered,0.066,56.24,15,3,2002,nd,75,299.76,298.35,7,0.5,3.28,6,4.61,0.05,-2.8,2,2.8,0.3,15-03-2002,lots of white on back bommies,lots of white on back bommies,Bleaching percent averaged from code: Severe (>50% Bleached)
542,-20.8143,149.2671,Pacific,Southern Great Barrier Reef,Australia,Queensland,Brampton Island,nd,231.07,Sheltered,0.0809,43.35,15,3,2002,nd,75,299.36,298.06,6,0.11,3.05,15,10.78,-0.67,-3.41,6,9.15,0.58,15-03-2002,high cover on SE side. Cat 2 on NW side,high cover on SE side. Cat 2 on NW side,Bleaching percent averaged from code: Severe (>50% Bleached)
543,-20.7502,149.159,Pacific,Southern Great Barrier Reef,Australia,Queensland,Allonby Island,nd,59.73,Sheltered,0.0891,41.53,15,3,2002,nd,75,299.43,298.12,6,0.07,2.91,14,10.66,-0.69,-3.43,5,7.89,0.57,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
552,-20.1305,148.608,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Grassy Island,nd,17.56,Sheltered,0.0969,46.8,15,3,2002,nd,75,299.8,298.53,6,0.55,3.17,12,11.12,-0.17,-3.21,5,8.29,0.4,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
559,-19.298,148.0791,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Stanley Reef,nd,52976.19,Sheltered,0.0746,48.25,15,3,2002,nd,75,300.04,298.9,6,0.54,2.41,11,8.79,0.03,-2.65,3,5.1,0.36,15-03-2002,lots of fluoros and white coral on slope,lots of fluoros and white coral on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
560,-19.2817,148.3483,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,72573.44,Sheltered,0.0626,48.12,15,3,2002,nd,75,300.02,298.86,7,0.53,2.36,5,1.17,0.04,-2.6,0,0,0.24,15-03-2002,lots of white coral on slope,lots of white coral on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
572,-17.3542,146.5346,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,nd,nd,49301.53,Exposed,0.0581,50.82,15,3,2002,nd,75,300.31,299.53,8,0.24,3.41,10,1.05,-0.51,-2.58,0,0,0.32,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
573,-17.3098,146.5442,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Publican Shoals,nd,50983.41,Exposed,0.0494,46.35,15,3,2002,nd,75,300.32,299.53,9,0.26,3.67,11,1.41,-0.49,-2.58,1,1.05,0.37,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
575,-17.0136,146.2169,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Sudbury Reef,nd,26538.63,Sheltered,0.1357,41.37,15,3,2002,nd,75,300.35,299.53,8,0.01,3.04,2,0,-0.81,-2.84,0,0,0.4,15-03-2002,backreef bommies very white where cover is high,backreef bommies very white where cover is high,Bleaching percent averaged from code: Severe (>50% Bleached)
579,-16.803,146.1847,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Thetford Reef,nd,26394.19,Sheltered,0.0634,44.4,15,3,2002,nd,75,300.34,299.58,9,-0.3,4.57,9,1.04,-1.1,-2.64,0,0,0.49,15-03-2002,low cover on back reef; but reef front has lots of white coral on slope,low cover on back reef; but reef front has lots of white coral on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
580,-16.7675,145.9923,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Green Island,nd,1815.09,Sheltered,0.0971,48.71,15,3,2002,nd,75,300.19,299.52,8,0.19,5.11,11,2.29,-0.82,-2.95,1,0,0.46,15-03-2002,lots of yellow and white on east side of reef,lots of yellow and white on east side of reef,Bleaching percent averaged from code: Severe (>50% Bleached)
581,-15.9057,145.6581,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,25127.62,Sheltered,0.0604,47.14,15,3,2002,nd,75,300.26,299.53,8,0.18,4.68,8,5.4,-0.7,-2.76,0,0,0.53,15-03-2002,lots of white on slope,lots of white on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
583,-15.6085,145.6271,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,31921.32,Sheltered,0.0903,44.64,15,3,2002,nd,75,300.19,299.49,8,0.17,3.8,6,1.05,-0.75,-2.79,1,0,0.49,15-03-2002,actually the eastern side of 15-078,actually the eastern side of 15-078,Bleaching percent averaged from code: Severe (>50% Bleached)
584,-15.5584,145.6513,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,nd,nd,35282.88,Sheltered,0.0645,42.91,15,3,2002,nd,75,300.29,299.52,8,0.46,3.38,4,0,-0.31,-2.6,1,0,0.45,15-03-2002,white bommies,white bommies,Bleaching percent averaged from code: Severe (>50% Bleached)
586,-15.4852,145.6554,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,nd,nd,39915.61,Sheltered,0.0656,38.46,15,3,2002,nd,75,300.32,299.54,8,0.25,3.26,8,1.32,-0.52,-2.6,2,1.29,0.52,15-03-2002,lots of white plates and boulders,lots of white plates and boulders,Bleaching percent averaged from code: Severe (>50% Bleached)
591,-14.732,145.1012,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Pethebridge Islets,nd,36.48,Sheltered,0.1466,53.56,15,3,2002,nd,75,300.17,299.38,8,-1.51,3.36,7,2.62,-2.41,-2.89,1,1.15,0.44,15-03-2002,white ribbon on slope,white ribbon on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
598,-14.4143,144.9504,Pacific,Torres Strait and far northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,5257.15,Sheltered,0.1365,51.03,15,3,2002,nd,75,300.35,299.48,8,-0.05,3.9,9,2.68,-0.84,-2.8,1,1.04,0.48,15-03-2002,back reef bommies white; but around cay is a cat 4,back reef bommies white; but around cay is a cat 4,Bleaching percent averaged from code: Severe (>50% Bleached)
600,-14.1737,144.2789,Pacific,Torres Strait and far northern Great Barrier Reef,Australia,Queensland,Flinders Island,nd,162.6,Sheltered,0.1499,46.6,15,3,2002,nd,75,300.32,299.57,8,0.11,3.77,9,2.98,-0.91,-3.07,1,1.1,0.27,15-03-2002,lots of bleaching on slope - plates and massives,lots of bleaching on slope - plates and massives,Bleaching percent averaged from code: Severe (>50% Bleached)
603,-14.078,143.9112,Pacific,Torres Strait and far northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,23256.73,Sheltered,0.0791,51.19,15,3,2002,nd,75,300.85,299.92,7,-0.92,3.29,6,4.53,-1.75,-2.83,3,3.95,0.66,15-03-2002,white mounds on slope,white mounds on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
606,-13.6662,143.6905,Pacific,Torres Strait and far northern Great Barrier Reef,Australia,Queensland,Hay Island,nd,151.56,Sheltered,0.0786,47.46,15,3,2002,nd,75,300.92,300,6,0.45,3.35,7,4.17,-0.26,-2.61,3,3.74,0.68,15-03-2002,white slope,white slope,Bleaching percent averaged from code: Severe (>50% Bleached)
829,-16.3029,145.4979,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Snapper Island,nd,356.11,Sheltered,0.1491,47.48,15,4,1998,nd,75,298.73,299.52,5,1.28,3.77,11,9.93,-1.09,-2.97,2,3.1,0.48,15-04-1998,Poor coral cover,Poor coral cover,Bleaching percent averaged from code: Severe (>50% Bleached)
885,-18.0833,146.5667,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Otter Reef,nd,32647.34,Sheltered,0.0957,21.71,15,4,1998,nd,75,298.85,299.35,5,0.83,4.57,6,7.16,-1.23,-2.77,3,4.91,0.59,15-04-1998,0.7,0.7,Bleaching percent averaged from code: Severe (>50% Bleached)
933,-19.875,147.9333,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Guthalungra,nd,3767.82,Exposed,0.1196,44.79,15,4,1998,nd,75,298,298.71,3,0.79,3.75,9,9.68,-1.65,-3.29,4,5.79,0.52,15-04-1998,Huge area of coral 90-100% bleached,Huge area of coral 90-100% bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
934,-19.8551,147.8947,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Camp Island,nd,453.85,Sheltered,0.1199,44.79,15,4,1998,nd,75,298.07,298.7,3,0.93,3.14,8,8.29,-1.41,-3.24,4,5.83,0.62,15-04-1998,100% bleached,100% bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
935,-19.7285,147.7581,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Guthalungra,nd,218.5,Sheltered,0.1619,46.3,15,4,1998,nd,75,262.15,298.85,3,0.26,3.52,5.6,7.74,-2.15,-3.29,4,6.61,0.53,15-04-1998,narrow fringing reef,narrow fringing reef,Bleaching percent averaged from code: Severe (>50% Bleached)
936,-19.725,147.8333,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Guthalungra,nd,49.03,Exposed,0.0704,46.3,15,4,1998,nd,75,298.28,298.83,3,0.83,3.32,4,5.86,-1.45,-3.22,3,4.67,0.52,15-04-1998,100% of fairly extensive reef,100% of fairly extensive reef,Bleaching percent averaged from code: Severe (>50% Bleached)
939,-19.2583,147.0667,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Cape Cleveland,nd,532.37,Exposed,0.1799,41.67,15,4,1998,nd,75,298.08,298.98,4,1.46,3.89,7,9.2,-1.19,-3.41,3,6.7,0.64,15-04-1998,Few corals,Few corals,Bleaching percent averaged from code: Severe (>50% Bleached)
940,-19.2167,146.8,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Rowes Bay,nd,2301.66,Sheltered,0.2111,43.52,15,4,1998,nd,75,298.06,299.11,4,0.19,4.3,11,12.48,-2.44,-3.27,6,10.8,0.75,15-04-1998,60-80%,60-80%,Bleaching percent averaged from code: Severe (>50% Bleached)
941,-19.2123,146.7953,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Rowes Bay,nd,1873.27,Sheltered,0.2111,43.52,15,4,1998,nd,75,298.06,299.11,4,0.19,4.3,11,12.48,-2.44,-3.27,6,10.8,0.75,15-04-1998,Extensive bleaching all over,Extensive bleaching all over,Bleaching percent averaged from code: Severe (>50% Bleached)
942,-19.2,148.8167,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,nd,nd,93915.94,Exposed,0.0432,48.45,15,4,1998,nd,75,298.92,299.06,5,0.81,3.41,2,2.91,-0.72,-2.33,2,2.87,0.29,15-04-1998,40-60%,40-60%,Bleaching percent averaged from code: Severe (>50% Bleached)
943,-19.1996,146.8145,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Middle Reef,nd,2961.11,Sheltered,0.2197,43.52,15,4,1998,nd,75,298.15,299.2,4,1.83,3.61,8,9.56,-0.89,-3.37,5,7.96,0.68,15-04-1998,Extensive on slope and crest,Extensive on slope and crest,Bleaching percent averaged from code: Severe (>50% Bleached)
944,-19.1917,146.842,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,1163.72,Sheltered,0.2173,43.52,15,4,1998,nd,75,298.06,299.09,4,0.62,3.74,14,13.57,-2.04,-3.36,11,10.34,0.7,15-04-1998,Large areas of pale coral,Large areas of pale coral,Bleaching percent averaged from code: Severe (>50% Bleached)
947,-19.1667,146.85,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,185,Sheltered,0.2173,43.52,15,4,1998,nd,75,298.06,299.09,4,0.62,3.74,14,13.57,-2.04,-3.36,11,10.34,0.7,15-04-1998,50-60%,50-60%,Bleaching percent averaged from code: Severe (>50% Bleached)
948,-19.158,146.867,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,577.92,Sheltered,0.1955,43.39,15,4,1998,nd,75,298.14,299.07,4,0.64,3.34,7,9.66,-2.07,-3.4,3,7.08,0.59,15-04-1998,Large areas of pale coral,Large areas of pale coral,Bleaching percent averaged from code: Severe (>50% Bleached)
949,-19.1167,146.758,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,2590.87,Sheltered,0.1815,43.39,15,4,1998,nd,75,298.2,299.19,4,0.39,5.92,6,7.09,-2.37,-3.46,4,6.94,0.68,15-04-1998,Extensive bleaching on crest and slope; but not on flat (low cover?),Extensive bleaching on crest and slope; but not on flat (low cover?),Bleaching percent averaged from code: Severe (>50% Bleached)
951,-19.0333,146.6167,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Rattlesnake Island,nd,249.03,Sheltered,0.1472,44.86,15,4,1998,nd,75,298.26,299.17,4,0.78,3.62,4,6.69,-1.86,-3.4,3,5.53,0.6,15-04-1998,70-90%,70-90%,Bleaching percent averaged from code: Severe (>50% Bleached)
954,-19.0298,146.6286,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Herald Island,nd,175.26,Sheltered,0.1326,44.86,15,4,1998,nd,75,298.26,299.17,4,0.78,3.62,4,6.69,-1.86,-3.4,3,5.53,0.6,15-04-1998,Extensive bleaching on crest and slope,Extensive bleaching on crest and slope,Bleaching percent averaged from code: Severe (>50% Bleached)
956,-18.9654,146.6298,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Acheron Island,nd,309.16,Sheltered,0.1138,44.02,15,4,1998,nd,75,298.33,299.15,4,0.91,3.39,8,9.61,-1.61,-3.33,5,7.11,0.56,15-04-1998,80-90% bleached,80-90% bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
959,-18.814,146.4321,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Pandora Reef,nd,10799.14,Sheltered,0.1466,60.2,15,4,1998,nd,75,298.37,299.26,4,0.17,3.16,6,9.31,-2.39,-3.35,4,8.17,0.68,15-04-1998,Harry Messel' on site at 13:15,Harry Messel' on site at 13:15,Bleaching percent averaged from code: Severe (>50% Bleached)
964,-18.7667,146.5333,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Falcon Island,nd,29.89,Sheltered,0.0904,60.2,15,4,1998,nd,75,298.54,299.19,4,0.72,3.51,7,8.69,-1.59,-3.25,4,6.41,0.65,15-04-1998,70-90%,70-90%,Bleaching percent averaged from code: Severe (>50% Bleached)
968,-18.6838,146.5824,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Palm Islands,nd,56.79,Sheltered,0.0576,48.95,15,4,1998,nd,75,299.23,299.27,4,1.97,6.21,23,39.87,1.92,-0.02,23,39.66,12.54,15-04-1998,In patches could be scored a 1.,In patches could be scored a 1.,Bleaching percent averaged from code: Severe (>50% Bleached)
974,-18.56,146.4865,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Pelorus Island,nd,334.36,Sheltered,0.0822,44.5,15,4,1998,nd,75,298.56,299.24,4,0.54,3.23,5,7.8,-1.79,-3.12,4,7.69,0.6,15-04-1998,In patches could be scored a 1.,In patches could be scored a 1.,Bleaching percent averaged from code: Severe (>50% Bleached)
977,-18.0529,146.5574,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Otter Reef,nd,33744.75,Sheltered,0.0957,21.71,15,4,1998,nd,75,298.76,299.3,5,0.93,4.86,6,8.84,-1.19,-2.8,4,6.54,0.58,15-04-1998,30-70%. Lots of fluoro corals,30-70%. Lots of fluoro corals,Bleaching percent averaged from code: Severe (>50% Bleached)
981,-17.9655,146.1379,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Dunk Island,nd,1027.99,Sheltered,0.1379,42.58,15,4,1998,nd,75,298.45,299.42,5,0.52,3.82,6,5.06,-2.12,-3.35,4,5.05,0.6,15-04-1998,hugely bleached >90% and lots of coral!,hugely bleached >90% and lots of coral!,Bleaching percent averaged from code: Severe (>50% Bleached)
982,-17.9559,146.1521,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Dunk Island,nd,271.77,Sheltered,0.1109,42.58,15,4,1998,nd,75,298.51,299.39,5,1.42,3.4,4,3.14,-1.13,-3.26,3,3.14,0.48,15-04-1998,not much reef and lots of mud,not much reef and lots of mud,Bleaching percent averaged from code: Severe (>50% Bleached)
988,-17.5303,146.3776,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,26348.75,Sheltered,0.0657,48.64,15,4,1998,nd,75,298.9,299.45,5,-0.39,3.28,4,4.41,-2.56,-2.77,3,3.17,0.4,15-04-1998,30-505,30-505,Bleaching percent averaged from code: Severe (>50% Bleached)
989,-17.4,146.4,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,35402.86,Sheltered,0.1447,50.82,15,4,1998,nd,75,298.98,299.48,5,-0.47,3.01,8,9.83,-2.56,-2.69,6,6.82,0.44,15-04-1998,30-50%,30-50%,Bleaching percent averaged from code: Severe (>50% Bleached)
995,-16.9229,146.0021,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Fitzroy Island,nd,21.26,Sheltered,0.0619,44.24,15,4,1998,nd,75,298.61,299.46,5,0.33,3.04,2,1.08,-2.24,-3.03,2,1.07,0.31,15-04-1998,70-90%,70-90%,Bleaching percent averaged from code: Severe (>50% Bleached)
996,-16.7307,145.685,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Double Island,nd,500.92,Sheltered,0.1554,46.05,15,4,1998,nd,75,298.59,299.5,5,1.15,3.36,11,8.05,-1.42,-3.1,7,6.98,0.6,15-04-1998,Low coral cover and dirty water,Low coral cover and dirty water,Bleaching percent averaged from code: Severe (>50% Bleached)
1000,-16.3876,145.5644,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Low Isles,nd,135.23,Sheltered,0.0758,63.92,15,4,1998,nd,75,298.67,299.5,5,1.49,3.47,4,4.18,-1,-3,2,3,0.43,15-04-1998,Very bad near anchorage where coral cover is good,Very bad near anchorage where coral cover is good,Bleaching percent averaged from code: Severe (>50% Bleached)
1026,-14.0608,121.9644,Indian,Scott Reef west Australia,Australia,Western Australia,Scott Reef Nature Reserve,nd,205111.03,Sheltered,0.0485,36.5,15,5,1998,nd,75,301.41,301.89,6,0.79,4.05,7,13.69,0.07,-1.28,6,11.73,0.99,15-05-1998,80-100% bleached,80-100% bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
1027,-14.0833,121.85,Indian,Scott Reef west Australia,Australia,Western Australia,Scott Reef Nature Reserve,nd,211205.33,Sheltered,0.0435,49.37,15,5,1998,nd,75,301.34,301.86,6,0.59,3.62,10,15.74,-0.17,-1.31,8,12.67,1.08,15-05-1998,Bleaching of 70-100% occurs between 1 m to 9 m; and 40% at 30 m depth. Sheltered shallow sites had up to 75% coral cover; which is now down to 15%; with more corals still dying 3 months after bleaching started. There was 70-100% bleaching and mortality of,Bleaching of 70-100% occurs between 1 m to 9 m; and 40% at 30 m depth. Sheltered shallow sites had up to 75% coral cover; which is now down to 15%; with more corals still dying 3 months after bleaching started. There was 70-100% bleaching and mortality of,Bleaching percent averaged from code: Severe (>50% Bleached)
1286,21.5544,-72.9692,Atlantic,Bahamas and Florida Keys,Bahamas,Inagua Islands,Little Inagua Island,nd,1050.28,Exposed,0.0256,60.9,15,8,1998,nd,75,301.92,300.19,7,-0.68,2.59,5,2.37,-1.02,-1.77,0,0,0.31,15-08-1998,60% (GCRMN 2000),60% (GCRMN 2000),Bleaching percent averaged from code: Severe (>50% Bleached)
