Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Exposure,Turbidity,Cyclone_Frequency,Date_Month,Date_Year,Percent_Bleaching,Temperature_Mean,Windspeed,SSTA,SSTA_DHW,TSA,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_condition
449,-20.0188,148.6241,Pacific,Central and northern Great Barrier Reef,Sheltered,0.076,47.02,3,2002,75,298.63,6,0.25,10.72,-0.42,0.49,15-03-2002,high cover; incl plates,high cover; incl plates,Bleaching percent averaged from code: Severe (>50% Bleached)
507,-24.8362,152.4829,Pacific,Moreton Bay eastern Australia,Exposed,0.095,41.58,3,1998,75,296.53,5,0.81,13.38,0.1,0.64,15-03-1998,severe bleaching,severe bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
541,-20.8572,150.3798,Pacific,Pompey and Swain Reefs south-east Great Barrier Reef,Sheltered,0.066,56.24,3,2002,75,298.35,7,0.5,4.61,0.05,0.3,15-03-2002,lots of white on back bommies,lots of white on back bommies,Bleaching percent averaged from code: Severe (>50% Bleached)
542,-20.8143,149.2671,Pacific,Southern Great Barrier Reef,Sheltered,0.0809,43.35,3,2002,75,298.06,6,0.11,10.78,-0.67,0.58,15-03-2002,high cover on SE side. Cat 2 on NW side,high cover on SE side. Cat 2 on NW side,Bleaching percent averaged from code: Severe (>50% Bleached)
543,-20.7502,149.159,Pacific,Southern Great Barrier Reef,Sheltered,0.0891,41.53,3,2002,75,298.12,6,0.07,10.66,-0.69,0.57,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
552,-20.1305,148.608,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0969,46.8,3,2002,75,298.53,6,0.55,11.12,-0.17,0.4,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
559,-19.298,148.0791,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0746,48.25,3,2002,75,298.9,6,0.54,8.79,0.03,0.36,15-03-2002,lots of fluoros and white coral on slope,lots of fluoros and white coral on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
560,-19.2817,148.3483,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0626,48.12,3,2002,75,298.86,7,0.53,1.17,0.04,0.24,15-03-2002,lots of white coral on slope,lots of white coral on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
572,-17.3542,146.5346,Pacific,Central and northern Great Barrier Reef,Exposed,0.0581,50.82,3,2002,75,299.53,8,0.24,1.05,-0.51,0.32,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
573,-17.3098,146.5442,Pacific,Central and northern Great Barrier Reef,Exposed,0.0494,46.35,3,2002,75,299.53,9,0.26,1.41,-0.49,0.37,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
575,-17.0136,146.2169,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1357,41.37,3,2002,75,299.53,8,0.01,0,-0.81,0.4,15-03-2002,backreef bommies very white where cover is high,backreef bommies very white where cover is high,Bleaching percent averaged from code: Severe (>50% Bleached)
579,-16.803,146.1847,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0634,44.4,3,2002,75,299.58,9,-0.3,1.04,-1.1,0.49,15-03-2002,low cover on back reef; but reef front has lots of white coral on slope,low cover on back reef; but reef front has lots of white coral on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
580,-16.7675,145.9923,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0971,48.71,3,2002,75,299.52,8,0.19,2.29,-0.82,0.46,15-03-2002,lots of yellow and white on east side of reef,lots of yellow and white on east side of reef,Bleaching percent averaged from code: Severe (>50% Bleached)
581,-15.9057,145.6581,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0604,47.14,3,2002,75,299.53,8,0.18,5.4,-0.7,0.53,15-03-2002,lots of white on slope,lots of white on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
583,-15.6085,145.6271,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0903,44.64,3,2002,75,299.49,8,0.17,1.05,-0.75,0.49,15-03-2002,actually the eastern side of 15-078,actually the eastern side of 15-078,Bleaching percent averaged from code: Severe (>50% Bleached)
584,-15.5584,145.6513,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0645,42.91,3,2002,75,299.52,8,0.46,0,-0.31,0.45,15-03-2002,white bommies,white bommies,Bleaching percent averaged from code: Severe (>50% Bleached)
586,-15.4852,145.6554,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0656,38.46,3,2002,75,299.54,8,0.25,1.32,-0.52,0.52,15-03-2002,lots of white plates and boulders,lots of white plates and boulders,Bleaching percent averaged from code: Severe (>50% Bleached)
591,-14.732,145.1012,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1466,53.56,3,2002,75,299.38,8,-1.51,2.62,-2.41,0.44,15-03-2002,white ribbon on slope,white ribbon on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
598,-14.4143,144.9504,Pacific,Torres Strait and far northern Great Barrier Reef,Sheltered,0.1365,51.03,3,2002,75,299.48,8,-0.05,2.68,-0.84,0.48,15-03-2002,back reef bommies white; but around cay is a cat 4,back reef bommies white; but around cay is a cat 4,Bleaching percent averaged from code: Severe (>50% Bleached)
600,-14.1737,144.2789,Pacific,Torres Strait and far northern Great Barrier Reef,Sheltered,0.1499,46.6,3,2002,75,299.57,8,0.11,2.98,-0.91,0.27,15-03-2002,lots of bleaching on slope - plates and massives,lots of bleaching on slope - plates and massives,Bleaching percent averaged from code: Severe (>50% Bleached)
603,-14.078,143.9112,Pacific,Torres Strait and far northern Great Barrier Reef,Sheltered,0.0791,51.19,3,2002,75,299.92,7,-0.92,4.53,-1.75,0.66,15-03-2002,white mounds on slope,white mounds on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
606,-13.6662,143.6905,Pacific,Torres Strait and far northern Great Barrier Reef,Sheltered,0.0786,47.46,3,2002,75,300,6,0.45,4.17,-0.26,0.68,15-03-2002,white slope,white slope,Bleaching percent averaged from code: Severe (>50% Bleached)
829,-16.3029,145.4979,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1491,47.48,4,1998,75,299.52,5,1.28,9.93,-1.09,0.48,15-04-1998,Poor coral cover,Poor coral cover,Bleaching percent averaged from code: Severe (>50% Bleached)
885,-18.0833,146.5667,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0957,21.71,4,1998,75,299.35,5,0.83,7.16,-1.23,0.59,15-04-1998,0.7,0.7,Bleaching percent averaged from code: Severe (>50% Bleached)
933,-19.875,147.9333,Pacific,Central and northern Great Barrier Reef,Exposed,0.1196,44.79,4,1998,75,298.71,3,0.79,9.68,-1.65,0.52,15-04-1998,Huge area of coral 90-100% bleached,Huge area of coral 90-100% bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
934,-19.8551,147.8947,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1199,44.79,4,1998,75,298.7,3,0.93,8.29,-1.41,0.62,15-04-1998,100% bleached,100% bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
935,-19.7285,147.7581,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1619,46.3,4,1998,75,298.85,3,0.26,7.74,-2.15,0.53,15-04-1998,narrow fringing reef,narrow fringing reef,Bleaching percent averaged from code: Severe (>50% Bleached)
936,-19.725,147.8333,Pacific,Central and northern Great Barrier Reef,Exposed,0.0704,46.3,4,1998,75,298.83,3,0.83,5.86,-1.45,0.52,15-04-1998,100% of fairly extensive reef,100% of fairly extensive reef,Bleaching percent averaged from code: Severe (>50% Bleached)
939,-19.2583,147.0667,Pacific,Central and northern Great Barrier Reef,Exposed,0.1799,41.67,4,1998,75,298.98,4,1.46,9.2,-1.19,0.64,15-04-1998,Few corals,Few corals,Bleaching percent averaged from code: Severe (>50% Bleached)
940,-19.2167,146.8,Pacific,Central and northern Great Barrier Reef,Sheltered,0.2111,43.52,4,1998,75,299.11,4,0.19,12.48,-2.44,0.75,15-04-1998,60-80%,60-80%,Bleaching percent averaged from code: Severe (>50% Bleached)
941,-19.2123,146.7953,Pacific,Central and northern Great Barrier Reef,Sheltered,0.2111,43.52,4,1998,75,299.11,4,0.19,12.48,-2.44,0.75,15-04-1998,Extensive bleaching all over,Extensive bleaching all over,Bleaching percent averaged from code: Severe (>50% Bleached)
942,-19.2,148.8167,Pacific,Central and northern Great Barrier Reef,Exposed,0.0432,48.45,4,1998,75,299.06,5,0.81,2.91,-0.72,0.29,15-04-1998,40-60%,40-60%,Bleaching percent averaged from code: Severe (>50% Bleached)
943,-19.1996,146.8145,Pacific,Central and northern Great Barrier Reef,Sheltered,0.2197,43.52,4,1998,75,299.2,4,1.83,9.56,-0.89,0.68,15-04-1998,Extensive on slope and crest,Extensive on slope and crest,Bleaching percent averaged from code: Severe (>50% Bleached)
944,-19.1917,146.842,Pacific,Central and northern Great Barrier Reef,Sheltered,0.2173,43.52,4,1998,75,299.09,4,0.62,13.57,-2.04,0.7,15-04-1998,Large areas of pale coral,Large areas of pale coral,Bleaching percent averaged from code: Severe (>50% Bleached)
947,-19.1667,146.85,Pacific,Central and northern Great Barrier Reef,Sheltered,0.2173,43.52,4,1998,75,299.09,4,0.62,13.57,-2.04,0.7,15-04-1998,50-60%,50-60%,Bleaching percent averaged from code: Severe (>50% Bleached)
948,-19.158,146.867,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1955,43.39,4,1998,75,299.07,4,0.64,9.66,-2.07,0.59,15-04-1998,Large areas of pale coral,Large areas of pale coral,Bleaching percent averaged from code: Severe (>50% Bleached)
949,-19.1167,146.758,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1815,43.39,4,1998,75,299.19,4,0.39,7.09,-2.37,0.68,15-04-1998,Extensive bleaching on crest and slope; but not on flat (low cover?),Extensive bleaching on crest and slope; but not on flat (low cover?),Bleaching percent averaged from code: Severe (>50% Bleached)
951,-19.0333,146.6167,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1472,44.86,4,1998,75,299.17,4,0.78,6.69,-1.86,0.6,15-04-1998,70-90%,70-90%,Bleaching percent averaged from code: Severe (>50% Bleached)
954,-19.0298,146.6286,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1326,44.86,4,1998,75,299.17,4,0.78,6.69,-1.86,0.6,15-04-1998,Extensive bleaching on crest and slope,Extensive bleaching on crest and slope,Bleaching percent averaged from code: Severe (>50% Bleached)
956,-18.9654,146.6298,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1138,44.02,4,1998,75,299.15,4,0.91,9.61,-1.61,0.56,15-04-1998,80-90% bleached,80-90% bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
959,-18.814,146.4321,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1466,60.2,4,1998,75,299.26,4,0.17,9.31,-2.39,0.68,15-04-1998,Harry Messel' on site at 13:15,Harry Messel' on site at 13:15,Bleaching percent averaged from code: Severe (>50% Bleached)
964,-18.7667,146.5333,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0904,60.2,4,1998,75,299.19,4,0.72,8.69,-1.59,0.65,15-04-1998,70-90%,70-90%,Bleaching percent averaged from code: Severe (>50% Bleached)
968,-18.6838,146.5824,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0576,48.95,4,1998,75,299.27,4,1.97,39.87,1.92,12.54,15-04-1998,In patches could be scored a 1.,In patches could be scored a 1.,Bleaching percent averaged from code: Severe (>50% Bleached)
974,-18.56,146.4865,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0822,44.5,4,1998,75,299.24,4,0.54,7.8,-1.79,0.6,15-04-1998,In patches could be scored a 1.,In patches could be scored a 1.,Bleaching percent averaged from code: Severe (>50% Bleached)
977,-18.0529,146.5574,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0957,21.71,4,1998,75,299.3,5,0.93,8.84,-1.19,0.58,15-04-1998,30-70%. Lots of fluoro corals,30-70%. Lots of fluoro corals,Bleaching percent averaged from code: Severe (>50% Bleached)
981,-17.9655,146.1379,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1379,42.58,4,1998,75,299.42,5,0.52,5.06,-2.12,0.6,15-04-1998,hugely bleached >90% and lots of coral!,hugely bleached >90% and lots of coral!,Bleaching percent averaged from code: Severe (>50% Bleached)
982,-17.9559,146.1521,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1109,42.58,4,1998,75,299.39,5,1.42,3.14,-1.13,0.48,15-04-1998,not much reef and lots of mud,not much reef and lots of mud,Bleaching percent averaged from code: Severe (>50% Bleached)
988,-17.5303,146.3776,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0657,48.64,4,1998,75,299.45,5,-0.39,4.41,-2.56,0.4,15-04-1998,30-505,30-505,Bleaching percent averaged from code: Severe (>50% Bleached)
989,-17.4,146.4,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1447,50.82,4,1998,75,299.48,5,-0.47,9.83,-2.56,0.44,15-04-1998,30-50%,30-50%,Bleaching percent averaged from code: Severe (>50% Bleached)
995,-16.9229,146.0021,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0619,44.24,4,1998,75,299.46,5,0.33,1.08,-2.24,0.31,15-04-1998,70-90%,70-90%,Bleaching percent averaged from code: Severe (>50% Bleached)
996,-16.7307,145.685,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1554,46.05,4,1998,75,299.5,5,1.15,8.05,-1.42,0.6,15-04-1998,Low coral cover and dirty water,Low coral cover and dirty water,Bleaching percent averaged from code: Severe (>50% Bleached)
1000,-16.3876,145.5644,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0758,63.92,4,1998,75,299.5,5,1.49,4.18,-1,0.43,15-04-1998,Very bad near anchorage where coral cover is good,Very bad near anchorage where coral cover is good,Bleaching percent averaged from code: Severe (>50% Bleached)
1026,-14.0608,121.9644,Indian,Scott Reef west Australia,Sheltered,0.0485,36.5,5,1998,75,301.89,6,0.79,13.69,0.07,0.99,15-05-1998,80-100% bleached,80-100% bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
1027,-14.0833,121.85,Indian,Scott Reef west Australia,Sheltered,0.0435,49.37,5,1998,75,301.86,6,0.59,15.74,-0.17,1.08,15-05-1998,Bleaching of 70-100% occurs between 1 m to 9 m; and 40% at 30 m depth. Sheltered shallow sites had up to 75% coral cover; which is now down to 15%; with more corals still dying 3 months after bleaching started. There was 70-100% bleaching and mortality of,Bleaching of 70-100% occurs between 1 m to 9 m; and 40% at 30 m depth. Sheltered shallow sites had up to 75% coral cover; which is now down to 15%; with more corals still dying 3 months after bleaching started. There was 70-100% bleaching and mortality of,Bleaching percent averaged from code: Severe (>50% Bleached)
1286,21.5544,-72.9692,Atlantic,Bahamas and Florida Keys,Exposed,0.0256,60.9,8,1998,75,300.19,7,-0.68,2.37,-1.02,0.31,15-08-1998,60% (GCRMN 2000),60% (GCRMN 2000),Bleaching percent averaged from code: Severe (>50% Bleached)
1288,25.0881,-77.4737,Atlantic,Bahamas and Florida Keys,Sheltered,0.0385,62.92,8,1998,75,299.7,6,1.07,9.29,1.06,0.18,15-08-1998,60% bleached,60% bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
1289,25.0881,-77.473,Atlantic,Bahamas and Florida Keys,Sheltered,0.0385,62.92,8,1998,75,299.7,6,1.07,9.29,1.06,0.18,15-08-1998,There was bleaching of over 60% of all head corals at 20 m; and 80% bleaching between 12-20 m depth.,There was bleaching of over 60% of all head corals at 20 m; and 80% bleaching between 12-20 m depth.,Bleaching percent averaged from code: Severe (>50% Bleached)
1290,27.2616,-78.3844,Atlantic,Bahamas and Florida Keys,Sheltered,0.1689,38.49,8,1998,75,299.37,5,0.94,12.05,0.87,0.11,15-08-1998,60% (GCRMN 2000),60% (GCRMN 2000),Bleaching percent averaged from code: Severe (>50% Bleached)
1325,27.2649,-78.4,Atlantic,Bahamas and Florida Keys,Sheltered,0.1689,38.49,9,1998,75,299.37,6,-0.34,4.28,-1.29,0.11,15-09-1998,great amount of coral that was bleached white; including many different types of coral,great amount of coral that was bleached white; including many different types of coral,Bleaching percent averaged from code: Severe (>50% Bleached)
1343,24.5167,-76.65,Atlantic,Bahamas and Florida Keys,Sometimes,0.0359,57.31,10,1983,75,299.93,6,0.7,0,-0.55,0.16,15-10-1983,In the Exuma Cays; Robert Wicklund of the Caribbean Marine Research Center in Florida observed massive bleaching off Lee Stocking Island in October.  Along a 20-mile stretch of the Exumas; some 10 species of corals are affected down to a depth of 73 meter,In the Exuma Cays; Robert Wicklund of the Caribbean Marine Research Center in Florida observed massive bleaching off Lee Stocking Island in October.  Along a 20-mile stretch of the Exumas; some 10 species of corals are affected down to a depth of 73 meter,Bleaching percent averaged from code: Severe (>50% Bleached)
1358,26.15,50.7008,Arabian Gulf,Persian Gulf,Sheltered,0.1794,46.43,8,1998,75,298.96,2,3.26,25.97,3.25,1.03,15-08-1998,100% Water temperatures went up from 34 to 37 deg C in a week and stayed that way for several weeks,100% Water temperatures went up from 34 to 37 deg C in a week and stayed that way for several weeks,Bleaching percent averaged from code: Severe (>50% Bleached)
1359,26.2923,50.9617,Arabian Gulf,Persian Gulf,Sheltered,0.1458,46.45,8,1998,75,299.14,2,3.83,27.21,3.83,0.86,15-08-1998,100% Water temperatures went up from 34 to 37 deg C in a week and stayed that way for several weeks,100% Water temperatures went up from 34 to 37 deg C in a week and stayed that way for several weeks,Bleaching percent averaged from code: Severe (>50% Bleached)
1360,26.6,50.8,Arabian Gulf,Persian Gulf,Sheltered,0.1555,46.51,8,1998,75,299.19,2,3.4,26.89,3.39,0.8,15-08-1998,100% Water temperatures went up from 34 to 37 deg C in a week and stayed that way for several weeks,100% Water temperatures went up from 34 to 37 deg C in a week and stayed that way for several weeks,Bleaching percent averaged from code: Severe (>50% Bleached)
1418,16.2,-88.35,Atlantic,Belize and west Caribbean,Sheltered,0.0773,48.45,1,1999,75,301.53,5,0.46,0,-2.95,0.84,15-01-1999,severe bleaching in lagoon all summer of 1998,severe bleaching in lagoon all summer of 1998,Bleaching percent averaged from code: Severe (>50% Bleached)
1430,17.83,-87.98,Atlantic,Belize and west Caribbean,Exposed,0.0532,54.69,5,2007,75,301.02,5,2.41,0,1.16,0.55,15-05-2007,100% of recorded recently killed coral is result of bleaching; Aspergillosis was present. Staghorn coral had sections of recently killed coral. Other unidentified disease was observed.,100% of recorded recently killed coral is result of bleaching; Aspergillosis was present. Staghorn coral had sections of recently killed coral. Other unidentified disease was observed.,Bleaching percent averaged from code: Severe (>50% Bleached)
1469,16.1,-88.29,Atlantic,Belize and west Caribbean,Sheltered,0.0787,45.94,8,2007,75,301.55,5,1.49,5.11,1.44,0.78,15-08-2007,100% of recorded recently killed coral is result of bleaching; some sea fans had tumors,100% of recorded recently killed coral is result of bleaching; some sea fans had tumors,Bleaching percent averaged from code: Severe (>50% Bleached)
1562,16.21,-88.18,Atlantic,Belize and west Caribbean,Sheltered,0.0996,59.26,9,1998,75,301.42,5,0.23,2.67,0.23,0.85,15-09-1998,fore reef; top reef and back reef of the main barrier reef,fore reef; top reef and back reef of the main barrier reef,Bleaching percent averaged from code: Severe (>50% Bleached)
1563,16.3333,-88.1667,Atlantic,Belize and west Caribbean,Sheltered,0.0752,65.83,9,1998,75,301.4,4,0.59,1.13,0.59,0.85,15-09-1998,The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C.,The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C.,Bleaching percent averaged from code: Severe (>50% Bleached)
1564,16.43,-88.2,Atlantic,Belize and west Caribbean,Sheltered,0.07,56,9,1998,75,301.35,4,0.51,4.41,0.51,0.7,15-09-1998,massive bleaching,massive bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
1565,16.47,-88.28,Atlantic,Belize and west Caribbean,Sheltered,0.0892,51.02,9,1998,75,301.36,4,0.45,5.94,0.45,0.71,15-09-1998,massive bleaching,massive bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
1566,16.503,-88.3828,Atlantic,Belize and west Caribbean,Sheltered,0.1198,49.64,9,1998,75,301.32,4,0.64,3.56,0.52,0.71,15-09-1998,massive bleaching,massive bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
1567,16.5982,-88.2252,Atlantic,Belize and west Caribbean,Sheltered,0.098,54,9,1998,75,301.27,4,0.99,3.86,0.99,0.68,15-09-1998,The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C.,The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C.,Bleaching percent averaged from code: Severe (>50% Bleached)
1568,16.8,-88.08,Atlantic,Belize and west Caribbean,Sometimes,0.0445,49.04,9,1998,75,301.16,4,1.69,0,1.69,0.61,15-09-1998,massive bleaching,massive bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
1569,16.8,-87.7667,Atlantic,Belize and west Caribbean,Sheltered,0.0983,47.62,9,1998,75,301.12,4,0.37,1.04,0.37,0.55,15-09-1998,The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C. Bleaching was measured at 76% on the western fore,The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C. Bleaching was measured at 76% on the western fore,Bleaching percent averaged from code: Severe (>50% Bleached)
1570,16.87,-88.12,Atlantic,Belize and west Caribbean,Sheltered,0.0814,57.9,9,1998,75,301.16,4,1.44,2,1.44,0.72,15-09-1998,massive bleaching,massive bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
1571,17.3,-87.5,Atlantic,Belize and west Caribbean,Exposed,0.0334,45.7,9,1998,75,301,4,0.67,3.28,0.68,0.42,15-09-1998,The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C.,The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C.,Bleaching percent averaged from code: Severe (>50% Bleached)
1572,17.3502,-88.2711,Atlantic,Belize and west Caribbean,Sheltered,0.1818,53.05,9,1998,75,301.06,4,1.94,2.65,1.93,0.94,15-09-1998,massive bleaching,massive bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
